직급코드	공무원구분코드	직종	직종세분류코드	직군코드	직렬코드	직류코드	계급코드	직급명	폐지여부
19095	2	2	L	47	081	111	031	지방공업연구사(일반임기제)	0
19096	2	2	L	47	081	057	031	지방공업연구사(일반임기제)	0
19097	2	2	L	47	083	112	030	지방농업연구관(일반임기제)	0
19098	2	2	L	47	083	191	030	지방농업연구관(일반임기제)	0
19099	2	2	L	47	083	192	030	지방농업연구관(일반임기제)	0
19100	2	2	L	47	083	114	030	지방농업연구관(일반임기제)	0
19101	2	2	L	47	083	190	030	지방농업연구관(일반임기제)	1
19102	2	2	L	47	083	115	030	지방농업연구관(일반임기제)	0
19103	2	2	L	47	083	214	030	지방농업연구관(일반임기제)	0
19104	2	2	L	47	083	117	030	지방농업연구관(일반임기제)	0
19105	2	2	L	47	083	050	030	지방농업연구관(일반임기제)	0
19106	2	2	L	47	083	120	030	지방농업연구관(일반임기제)	0
19107	2	2	L	47	083	112	031	지방농업연구사(일반임기제)	0
19108	2	2	L	47	083	191	031	지방농업연구사(일반임기제)	0
19109	2	2	L	47	083	192	031	지방농업연구사(일반임기제)	0
19110	2	2	L	47	083	114	031	지방농업연구사(일반임기제)	0
19111	2	2	L	47	083	190	031	지방농업연구사(일반임기제)	1
19112	2	2	L	47	083	115	031	지방농업연구사(일반임기제)	0
19113	2	2	L	47	083	214	031	지방농업연구사(일반임기제)	0
19114	2	2	L	47	083	117	031	지방농업연구사(일반임기제)	0
19115	2	2	L	47	083	050	031	지방농업연구사(일반임기제)	0
19116	2	2	L	47	083	120	031	지방농업연구사(일반임기제)	0
19117	2	2	L	47	194	118	030	지방녹지연구관(일반임기제)	0
19118	2	2	L	47	194	225	030	지방녹지연구관(일반임기제)	0
19119	2	2	L	47	194	118	031	지방녹지연구사(일반임기제)	0
19120	2	2	L	47	194	225	031	지방녹지연구사(일반임기제)	0
19121	2	2	L	47	185	051	030	지방수의연구관(일반임기제)	0
19122	2	2	L	47	185	051	031	지방수의연구사(일반임기제)	0
19123	2	2	L	47	186	121	030	지방해양수산연구관(일반임기제)	0
19124	2	2	L	47	186	122	030	지방해양수산연구관(일반임기제)	0
19125	2	2	L	47	186	123	030	지방해양수산연구관(일반임기제)	0
19126	2	2	L	47	186	124	030	지방해양수산연구관(일반임기제)	0
19127	2	2	L	47	186	125	030	지방해양수산연구관(일반임기제)	0
19128	2	2	L	47	186	126	030	지방해양수산연구관(일반임기제)	0
19129	2	2	L	47	186	121	031	지방해양수산연구사(일반임기제)	0
19130	2	2	L	47	186	122	031	지방해양수산연구사(일반임기제)	0
19131	2	2	L	47	186	123	031	지방해양수산연구사(일반임기제)	0
19132	2	2	L	47	186	124	031	지방해양수산연구사(일반임기제)	0
19133	2	2	L	47	186	125	031	지방해양수산연구사(일반임기제)	0
19134	2	2	L	47	186	126	031	지방해양수산연구사(일반임기제)	0
19135	2	2	L	47	096	127	030	지방보건연구관(일반임기제)	0
19136	2	2	L	47	096	128	030	지방보건연구관(일반임기제)	0
19137	2	2	L	47	096	129	030	지방보건연구관(일반임기제)	0
19138	2	2	L	47	096	127	031	지방보건연구사(일반임기제)	0
19139	2	2	L	47	096	128	031	지방보건연구사(일반임기제)	0
19140	2	2	L	47	096	129	031	지방보건연구사(일반임기제)	0
19141	2	2	L	47	098	130	030	지방환경연구관(일반임기제)	0
19142	2	2	L	47	098	130	031	지방환경연구사(일반임기제)	0
19143	2	2	L	47	187	131	030	지방시설연구관(일반임기제)	0
19144	2	2	L	47	187	088	030	지방시설연구관(일반임기제)	0
19145	2	2	L	47	187	131	031	지방시설연구사(일반임기제)	0
