연번,기관명,면적( ㎢)),과수(전체),센터수,과수(감독전체),과수(근로전체),과수(산안전체),전체정원,감독관,근로,산안,관할시군구수,인구수,사업체수,종사자수,신고사건접수건수,신고사건처리건수,평균처리일,지연처리율(%),감시단속적근로자적용제외승인,특별연장근로인가건수,노사협의회및노조설립·변경·해산신고건수,취업규칙심사건수,퇴직연금규약접수건수,15세미만취직인허18세미만야간·휴일근로 인가,임산부야간휴일근로인가,파견사업인가,최저임금적용제외인가,사내공동근로복지기금인가,우리사주조합설립및해산신고,근로감독건수,정기감독실시업체,수시감독실시업체,특별감독실시업체,사업장감독결과금품청산법위반건수,"근로시간위반건수(제50조,제53조)",휴가위반건수(제60조),근로조건미명시건수,부당노동행위위반(제81조),직장내괴롭힘적발건수,현장점검횟수,현장점검의날지도건수,교육·컨설팅횟수,안전보건감독건수,안전보건진단·개선계획수립명령건수(진단),안전보건진단·개선계획수립명령건수(개선계획),안전인증·안전검사·유해위험방지계획서조치건수(안정인증),안전인증·안전검사·유해위험방지계획서조치건수(안전검사),안전인증·안전검사·유해위험방지계획서조치건수(위해위험방지계획서),산업재해조사표입력건수,점검·감독,점검·감독현황(위반사업장),점검·감독현황(행정조치),점검·감독현황(사법조치),중대재해,중대산업사고,중대재해 작업중지,"사고재해자수
(명)","사망만인율
(?)?","사고사망만인율
(?)","부상자수?
(명)","재해자수?
(명)"," 재해율
(%)?"
11,의정부지청,3370.69,13,5,6,3,3,234,109,70,39,8,"1,979,652","71,478","496,060","13,996","12,905",34.69,6.73,313,180,24,1105,13617,102,10,32,72,24,0,776,663,113,,195,46,3,483,,,3281,221,14,712,19,1,6,87,10,3174,712,346,342,85,67,,34,4358,1.91,0.86,4302,5123,0.94
12,고양지청,940.83,8,2,4,3,1,164,71,57,14,2,"1,581,760","61,089","469,642","9,957","9,298",38.44,8.44,371,119,26,897,11119,77,197,41,44,34,4,719,586,133,,330,37,4,355,,,1949,85,2,490,5,8,1,46,14,2939,490,213,211,51,39,,16,3107,1.02,0.61,3066,3431,0.7
13,경기지청,1402.11,12,3,7,4,3,328,160,110,50,3,"3,260,691","128,602","1,212,960","20,322","19,403",28.38,4.9,699,545,57,"1,978","24,937",281,104,109,80,104,10,"1,398","1,143",255,,443,44,6,807,,,"4,447",219,5,995,30,,12,184,19,5854,995,415,413,107,210,2,39,6896,0.94,0.54,6802,7736,0.62
14,성남지청,2613.27,13,4,7,4,3,252,122,80,42,6,"2,099,025","90,607","856,880","15,477","14,375",43.08,11.49,479,259,59,"1,518","17,457",155,166,89,43,77,10,"1,003",815,188,,250,42,6,566,,,"3,633",142,7,721,14,10,3,126,7,3718,721,390,389,122,57,,27,4614,0.8,0.41,4570,5260,0.58
15,안양지청,223.21,7,3,3,2,1,140,54,45,9,5,"1,337,788","54,959","484,050","7,101","6,641",36.34,10.13,304,133,39,824,9592,68,42,63,14,46,7,513,417,96,,168,15,2,299,,,2233,91,6,362,10,1,1,44,26,2085,362,203,203,32,16,,10,2087,0.83,0.36,2066,2447,0.55
16,안산지청,286.58,8,2,4,3,1,171,82,66,16,2,"1,131,786","54,764","443,180","9,600","9,102",23.3,3.64,247,331,38,894,12215,101,64,450,98,43,1,764,633,130,1,221,36,1,475,,,2625,177,9,654,13,4,11,316,43,2692,654,191,189,55,29,1,8,3479,0.83,0.36,3456,3855,0.82
17,평택지청,1054.26,7,3,3,2,1,138,64,50,14,3,"1,043,816","37,169","378,893","9,601","9,098",38.29,9.2,299,196,32,778,7574,101,33,61,77,26,3,562,478,84,,217,54,3,311,1,,3015,83,6,604,18,14,7,61,19,3127,604,306,305,36,28,,19,2752,0.85,0.45,2722,3090,0.61
18,강원지청,7040.52,5,1,2,1,1,82,40,19,21,6,"488,143","20,440","145,603","2,449","2,298",34.87,8.27,70,135,27,241,2955,8,19,7,26,2,0,258,208,50,,115,9,2,112,,1,1072,62,2,223,,,,43,8,828,223,79,79,22,49,,12,1184,1.07,0.9,1166,1309,0.78
19,강릉지청,2620.68,5,2,2,1,1,62,25,17,8,5,"428,322","19,525","134,358","2,275","2,054",56.8,17.48,65,83,12,208,2436,46,50,4,7,2,1,181,150,31,,20,3,4,25,,,1179,90,2,326,1,1,,31,12,889,326,126,126,17,15,,7,1015,2.98,0.73,1000,1501,0.99
20,원주지청,1865.55,4,1,2,1,1,55,24,16,8,2,"408,157","16,180","143,513","2,304","2,116",50.19,15.6,90,157,13,334,2602,9,78,17,31,12,1,193,175,18,,21,4,2,148,,,774,53,2,285,4,2,,25,7,855,285,53,52,10,13,,8,930,1.61,0.77,918,1072,0.75
21,태백지청,1490.57,4,2,1,1,,35,11,11,,2,"99,012","4,681","35,506",494,449,58.91,16.48,16,23,9,55,583,0,0,2,61,1,0,74,62,12,,19,2,0,52,,,265,36,7,130,,,,9,,249,130,43,43,5,6,,2,285,44.16,1.24,274,2161,5.36
