직급_code,직급_value
03762,보도담당(4급상당)
03763,보도관(5급상당)
03764,보도사(6급상당)
03765,보도기사(6급상당)
03766,보도기사(7급상당)
03767,보도기사(8급상당)
03768,보장구제작요원(7급상당)
03769,보장구제작요원(8급상당)
03770,보장구제작요원(9급상당)
03771,보좌관(4급상당)
03772,보좌관(5급상당)
03773,보험계리인(5급상당)
03774,분관관리담당(5급상당)
03775,분류심사관(5급상당)
03776,분류심사담당(6급상당)
03777,분류심사담당(7급상당)
03778,비서관(1급상당)
03779,비서관(2급상당)
03780,비서관(3급상당)
03781,비서관(4급상당)
03782,비서관(5급상당)
03783,비서(6급상당)
03784,비서(7급상당)
03785,비서(8급상당)
03786,비서(9급상당)
03787,사진제작담당(6급상당)
03788,사진제작담당(7급상당)
03789,사진제작사(6급상당)
03790,사진제작사(7급상당)
03791,사진제작사(8급상당)
03792,사진기사(6급상당)
03793,사진기사(7급상당)
03794,사진촬영요원(7급상당)
03795,사진촬영담당(7급상당)
03796,사회사업요원(6급상당)
03797,사회사업요원(7급상당)
03798,산업상담원(6급상당)
03799,산업상담원(7급상당)
03800,상훈기록담당(6급상당)
03801,생물연구관(5급상당)
03802,서훈담당(5급상당)
03803,소장품관리요원(7급상당)
03804,속기사(6급상당)
03805,속기사(7급상당)
03806,속기사(8급상당)
03807,수족관리사(8급상당)
03808,시설담당(5급상당)
03809,시설담당(6급상당)
03810,시설담당(7급상당)
03811,시설관리담당(5급상당)
03812,시설장비담당(5급상당)
03813,시설관리담당(6급상당)
03814,시청각기사(6급상당)
03815,시청각기사(7급상당)
03816,시청각기사(8급상당)
03817,시청각기자재담당(6급상당)
03818,시청각기자재취급요원(7급상당)
03819,심사관(5급상당)
03820,심사관(6급상당)
03821,심판관(2급상당)
03822,심판관(3급상당)
03823,심판관(4급상당)
03824,심판관(5급상당)
03825,연구관(2급상당)
03826,연구관(3급상당)
03827,연구관(4급상당)
03828,연구관(5급상당)
03829,연구원(6급상당)
03830,연구담당(4급상당)
03831,연구담당(6급상당)
03832,연예관(5급상당)
03833,연예사(6급상당)
03834,연예사(7급상당)
03835,연예사(8급상당)
03836,연예사(9급상당)
03837,영림요원(6급상당)
03838,영사기사(6급상당)
03839,영사기사(7급상당)
03840,영양사(7급상당)
03841,영현담당(6급상당)
03842,영화감독(4급상당)
03843,영화감독(5급상당)
03844,영화감독(6급상당)
03845,영화감독(7급상당)
03846,영화감독(8급상당)
03847,감독(4급상당)
03848,감독(5급상당)
03849,감독(6급상당)
03850,감독(7급상당)
03851,감독(8급상당)
03852,영화기사(6급상당)
03853,영화녹음요원(5급상당)
03854,영화녹음요원(6급상당)
03855,영화녹음요원(7급상당)
03856,영화녹음요원(8급상당)
03857,녹음담당(5급상당)
03858,녹음요원(6급상당)
03859,녹음요원(7급상당)
03860,녹음요원(8급상당)
03861,영화미술요원(6급상당)
03862,미술요원(6급상당)
03863,미술요원(7급상당)
03864,미술요원(8급상당)
03865,영화촬영기사(6급상당)
03866,영화촬영요원(5급상당)
03867,영화촬영요원(6급상당)
03868,영화촬영요원(7급상당)
